Job Class,Percentage,Links
Management,6.1,https://www.linkedin.com/jobs/management-jobs-new-york?currentJobId=4027848004&position=2&pageNum=0
Business and Financial operations,5,https://www.linkedin.com/jobs/finance-operations-jobs-new-york-city-metropolitan-area?position=1&pageNum=0arc
Computer and Mathematical,2.7,https://www.linkedin.com/jobs/computational-mathematics-jobs-new-york-city-metropolitan-area?position=1&pageNum=0
Architecture and Engineering,1.7,https://www.linkedin.com/jobs/architecture-engineering-jobs-new-york?position=1&pageNum=0
"Life, Physical and Social Science",0.9,https://www.linkedin.com/jobs/social-science-research-jobs-new-york-city-metropolitan-area?position=1&pageNum=0
Community and Social Service,1.6,https://www.linkedin.com/jobs/social-worker-jobs-new-york?position=1&pageNum=0
Legal,0.8,https://www.linkedin.com/jobs/law-jobs-new-york?position=1&pageNum=0
"Education, training and library",6.1,https://www.linkedin.com/jobs/librarian-jobs-new-york?original_referer=https%3A%2F%2Fwww.google.com%2F&position=1&pageNum=0
"Arts, design, entertainment, sports and media",1.7,https://www.linkedin.com/jobs/sports-and-entertainment-marketing-jobs-new-york-city-metropolitan-area?position=1&pageNum=0
Healthcare practioners and technical,5.5,https://www.linkedin.com/jobs/health-technology-jobs-new-york-city-metropolitan-area?position=1&pageNum=0
Healthcare support,2.8,https://www.linkedin.com/jobs/healthcare-support-jobs-new-york-ny?position=1&pageNum=0
Protective service,2.3,https://www.linkedin.com/jobs/protective-officer-jobs-new-york-city-metropolitan-area?position=1&pageNum=0
Food preparation and serving,8.3,https://www.linkedin.com/jobs/food-preparation-workers-jobs-new-york-city-metropolitan-area?position=1&pageNum=0
Building and grounds cleaning and maintenance,3.7,https://www.linkedin.com/jobs/no-experience-maintenance-jobs-new-york-city-metropolitan-area?position=1&pageNum=0
Personal care and service,4,https://www.linkedin.com/jobs/personal-care-jobs-new-york?position=1&pageNum=0
Sales,10.2,https://www.linkedin.com/jobs/sales-jobs-new-york?position=1&pageNum=0
Office and administrative support,15.1,https://www.linkedin.com/jobs/administrative-assistant-jobs-new-york?position=1&pageNum=0
"Farming, fishing and forestry",0.6,https://www.indeed.com/jobs?q=farming%2C+fishing%2C+and+forestry&l=new+york%2C+ny&from=searchOnDesktopSerp&vjk=da342489ad47bf60
Construction and extraction,4.3,https://www.indeed.com/jobs?q=construction+and+extraction&l=new+york%2C+ny&from=searchOnDesktopSerp&vjk=838ccf5efbdc73f9 
"Installation, maintenance and repair",3.8,https://www.indeed.com/jobs?q=installation%2C+maintenance%2C+and+repair&l=new+york%2C+ny&from=searchOnDesktopSerp&vjk=b0d45bd1221b224f
Production,6.1,https://www.indeed.com/q-production-l-new-york,-ny-jobs.html?vjk=ae628225cead95b0
Transportation and material moving,6.5,https://www.indeed.com/jobs?q=Transportation+and+material+moving&l=new+york%2C+ny&from=searchOnDesktopSerp&vjk=afe3833a3441ff42
Total,99.8
